sku_name,sku_qty,sales_velocity,stockout_risk
Actara 25 WG,87.65215110178384,6.9569779643231895,2682
Alto 5 SC,86.02550290062533,6.997212386046862,2883
Amistar 250 SC,88.7409491006506,6.870455415231534,2746
Axial 50 EC,84.88135593220339,7.147979139504563,2937
Cruiser 350 FS,87.13137775003901,7.023248556717117,2856
Kavach 75 WP,84.76675318546484,7.106260814849772,2860
Movondo,86.43593570608496,6.94033677765021,2905
Score 250 EC,89.37703564727956,7.047729831144466,2892
Tilt 250 EC,84.14004758128469,7.14349722442506,2887
Topik 15 WP,88.6568371807654,6.956361684178234,2796
Vertimec 1.8 EC,88.13372962758838,6.773876072750177,2739
Vibrance Integral,89.22143720719359,7.028373885446577,2841
