campaign_id,week_start_date,social_post_impression,landing_page_visits,lead_form_submission,campaign_crop,campaign_product,visit_rate,lead_rate
CMP_RABI25_001,2025-10-06,29663,665,47,wheat,Topik 15 WP,0.022418501163065097,0.07067669172932331
CMP_RABI25_001,2025-10-13,14618,279,14,wheat,Topik 15 WP,0.01908605828430702,0.05017921146953405
CMP_RABI25_001,2025-10-20,36445,753,36,wheat,Topik 15 WP,0.0206612704074633,0.04780876494023904
CMP_RABI25_001,2025-10-27,32487,478,42,wheat,Topik 15 WP,0.014713577738787823,0.08786610878661087
CMP_RABI25_001,2025-11-03,18904,371,14,wheat,Topik 15 WP,0.019625476089716463,0.03773584905660377
CMP_RABI25_001,2025-11-10,57581,1224,49,wheat,Topik 15 WP,0.021257011861551555,0.04003267973856209
CMP_RABI25_001,2025-11-17,40993,566,43,wheat,Topik 15 WP,0.013807235381650526,0.07597173144876325
CMP_RABI25_001,2025-11-24,42830,1113,87,wheat,Topik 15 WP,0.025986458090123746,0.07816711590296496
CMP_RABI25_001,2025-12-01,65740,1510,109,wheat,Topik 15 WP,0.022969272893215698,0.07218543046357616
CMP_RABI25_001,2025-12-08,53372,1360,82,wheat,Topik 15 WP,0.02548152589372705,0.060294117647058824
CMP_RABI25_001,2025-12-15,44092,1208,56,wheat,Topik 15 WP,0.0273972602739726,0.046357615894039736
CMP_RABI25_001,2025-12-22,27134,734,32,wheat,Topik 15 WP,0.027050932409523106,0.043596730245231606
CMP_RABI25_001,2025-12-29,36549,487,26,wheat,Topik 15 WP,0.01332457796382938,0.053388090349075976
CMP_RABI25_001,2026-01-05,52930,705,36,wheat,Topik 15 WP,0.013319478556584169,0.05106382978723404
CMP_RABI25_001,2026-01-12,51648,800,70,wheat,Topik 15 WP,0.015489467162329617,0.0875
CMP_RABI25_001,2026-01-19,14667,315,28,wheat,Topik 15 WP,0.0214767846185314,0.08888888888888889
CMP_RABI25_001,2026-01-26,33061,791,32,wheat,Topik 15 WP,0.023925471098877833,0.040455120101137804
CMP_RABI25_001,2026-02-02,24180,261,22,wheat,Topik 15 WP,0.010794044665012407,0.0842911877394636
CMP_RABI25_001,2026-02-09,76445,1221,97,wheat,Topik 15 WP,0.015972267643403756,0.07944307944307945
CMP_RABI25_001,2026-02-16,61298,924,51,wheat,Topik 15 WP,0.015073901269209437,0.05519480519480519
CMP_RABI25_001,2026-02-23,48950,1298,84,wheat,Topik 15 WP,0.02651685393258427,0.06471494607087827
CMP_RABI25_001,2026-03-02,26447,292,24,wheat,Topik 15 WP,0.011040949824176655,0.0821917808219178
CMP_RABI25_001,2026-03-09,27952,532,31,wheat,Topik 15 WP,0.019032627361190612,0.05827067669172932
CMP_RABI25_001,2026-03-16,20343,262,20,wheat,Topik 15 WP,0.012879123039866294,0.07633587786259542
CMP_RABI25_001,2026-03-23,35421,465,25,wheat,Topik 15 WP,0.013127805539086983,0.053763440860215055
CMP_RABI25_001,2026-03-30,37536,464,44,wheat,Topik 15 WP,0.0123614663256607,0.09482758620689655
CMP_RABI25_002,2025-10-06,24061,254,23,mustard,Score 250 EC,0.010556502223515233,0.09055118110236221
CMP_RABI25_002,2025-10-13,55185,814,55,mustard,Score 250 EC,0.01475038506840627,0.06756756756756757
CMP_RABI25_002,2025-10-20,43135,940,48,mustard,Score 250 EC,0.021792048220702447,0.05106382978723404
CMP_RABI25_002,2025-10-27,19482,375,28,mustard,Score 250 EC,0.01924853711117955,0.07466666666666667
CMP_RABI25_002,2025-11-03,55962,992,71,mustard,Score 250 EC,0.017726314284693186,0.0715725806451613
CMP_RABI25_002,2025-11-10,12612,221,14,mustard,Score 250 EC,0.017522993973993022,0.06334841628959276
CMP_RABI25_002,2025-11-17,31443,828,56,mustard,Score 250 EC,0.026333365136914418,0.06763285024154589
CMP_RABI25_002,2025-11-24,48566,1266,112,mustard,Score 250 EC,0.026067619322159535,0.08846761453396525
CMP_RABI25_002,2025-12-01,28132,574,53,mustard,Score 250 EC,0.02040381060713778,0.09233449477351917
CMP_RABI25_002,2025-12-08,49576,1291,91,mustard,Score 250 EC,0.026040826206228822,0.0704879938032533
CMP_RABI25_002,2025-12-15,27707,449,24,mustard,Score 250 EC,0.01620529108167611,0.053452115812917596
CMP_RABI25_002,2025-12-22,39325,505,25,mustard,Score 250 EC,0.01284170375079466,0.04950495049504951
CMP_RABI25_002,2025-12-29,40812,1076,49,mustard,Score 250 EC,0.026364794668234832,0.04553903345724907
CMP_RABI25_002,2026-01-05,31841,715,67,mustard,Score 250 EC,0.022455324895574887,0.0937062937062937
CMP_RABI25_002,2026-01-12,24966,607,51,mustard,Score 250 EC,0.024313065769446446,0.08401976935749589
CMP_RABI25_002,2026-01-19,36313,572,36,mustard,Score 250 EC,0.015751934568887176,0.06293706293706294
CMP_RABI25_002,2026-01-26,49042,883,78,mustard,Score 250 EC,0.018004975327270502,0.08833522083805209
CMP_RABI25_002,2026-02-02,59005,801,69,mustard,Score 250 EC,0.013575120752478603,0.08614232209737828
CMP_RABI25_002,2026-02-09,34628,620,24,mustard,Score 250 EC,0.017904585884255517,0.03870967741935484
CMP_RABI25_002,2026-02-16,13345,185,10,mustard,Score 250 EC,0.013862869988759834,0.05405405405405406
CMP_RABI25_002,2026-02-23,33736,436,24,mustard,Score 250 EC,0.012923879535214608,0.05504587155963303
CMP_RABI25_002,2026-03-02,59159,816,77,mustard,Score 250 EC,0.01379333660136243,0.09436274509803921
CMP_RABI25_002,2026-03-09,54915,1389,63,mustard,Score 250 EC,0.02529363561868342,0.04535637149028078
CMP_RABI25_002,2026-03-16,42372,785,30,mustard,Score 250 EC,0.018526385348815254,0.03821656050955414
CMP_RABI25_002,2026-03-23,50531,806,42,mustard,Score 250 EC,0.01595060457936712,0.052109181141439205
CMP_RABI25_002,2026-03-30,15778,316,15,mustard,Score 250 EC,0.020027886931169983,0.04746835443037975
CMP_RABI25_003,2025-10-06,31949,446,27,chickpea,Actara 25 WG,0.013959748348931109,0.06053811659192825
CMP_RABI25_003,2025-10-13,37194,398,37,chickpea,Actara 25 WG,0.01070065064257676,0.09296482412060302
CMP_RABI25_003,2025-10-20,43886,749,47,chickpea,Actara 25 WG,0.017066946178735814,0.06275033377837116
CMP_RABI25_003,2025-10-27,20043,263,10,chickpea,Actara 25 WG,0.013121788155465748,0.03802281368821293
CMP_RABI25_003,2025-11-03,46797,1009,57,chickpea,Actara 25 WG,0.021561211188751414,0.05649157581764123
CMP_RABI25_003,2025-11-10,49083,1207,78,chickpea,Actara 25 WG,0.0245909989201964,0.06462303231151616
